roman,khmer
l'aw ot khchos,ល្អឥតខ្ចោះ
la'ar ot khjos,ល្អឥតខ្ចោះ
laor ot kjos,ល្អឥតខ្ចោះ
thom mo ta,ធម្មតា
tom mo ta,ធម្មតា
thommota,ធម្មតា
toun,ទន់
ton,ទន់
tun,ទន់
phler thla,ភ្លឺថ្លា
plir thla,ភ្លឺថ្លា
kmeng,ក្មេង
chas tum,ចាស់ទុំ
chas tom,ចាស់ទុំ
jas tum,ចាស់ទុំ
l'aw,ល្អ
la'ar,ល្អ
laor,ល្អ
os char,អស្ចារ្យ
ors cha,អស្ចារ្យ
osja,អស្ចារ្យ
akrok nas,អាក្រក់ណាស់
ah krok nas,អាក្រក់ណាស់
akk nas,អាក្រក់ណាស់
thoak,ថោក
thlai,ថ្លៃ
tlai,ថ្លៃ
chhnganh,ឆ្ងាញ់
kur oy thounh,គួរឲធុញ
ku oy thunh,គួរឲធុញ
kur oy thunh,គួរឲធុញ
kur oy chab aram,គួរអោយចាប់អារម្មណ៍
ku oy chab ahram,គួរអោយចាប់អារម្មណ៍
kur oy jab arom,គួរអោយចាប់អារម្មណ៍
kur oy serch,គួរអោយសើច
ku oy serch,គួរអោយសើច
kur oy serj,គួរអោយសើច
pit,ពិត
pet,ពិត
kohok,កុហក
kuhok,កុហក
k'hok,កុហក
somnang,សំណាង
pukae,ពូកែ
p'kae,ពូកែ
pkae,ពូកែ
aរch tok chet​​ ban,អាចទុកចិត្តបាន
arch tuk jet ban,អាចទុកចិត្តបាន
ach tuk jit ban,អាចទុកចិត្តបាន
bonlom,បន្លំ
b'lom,បន្លំ
p'lom,បន្លំ
pit brakot,ពិតប្រាកដ
pit pra kot,ពិតប្រាកដ
sros,ស្រស់
chas,ចាស់
jas,ចាស់
ond,ចាស់
tver oy khork chet,ធ្វើអោយខកចិត្ត
tver oy khok jet,ធ្វើអោយខកចិត្ត
ther oy khok jit,ធ្វើអោយខកចិត្ត
kur oy chab chet,គួរអោយចាប់ចិត្ត
ku oy jab jet,គួរអោយចាប់ចិត្ត
kur oy jab jit,គួរអោយចាប់ចិត្ត
kmean bra yoch,គ្មានប្រយោជន៍
k'mean p'youch,គ្មានប្រយោជន៍
kamean pyouch,គ្មានប្រយោជន៍
mean bra yoch,មានប្រយោជន៍
mean p'youch,មានប្រយោជន៍
mean pyouch,មានប្រយោជន៍
ror loun,រលូន
roloun,រលូន
mean sovathphiep,មានសុវត្ថិភាព
mean sovathpeah,មានសុវត្ថិភាព
krous thnak,គ្រោះថ្នាក់
krous tnak,គ្រោះថ្នាក់
krus tnak,គ្រោះថ្នាក់
torn samay,ទាន់សម័យ
ton samai,ទាន់សម័យ
ton smai,ទាន់សម័យ
hous samay,ហួសសម័យ
hous samai,ហួសសម័យ
hus smai,ហួសសម័យ
pi ses,ពិសេស
pises,ពិសេស
thomda,ធម្មតា
tomda,ធម្មតា
tmd,ធម្មតា
loy,ឡូយ
to tuol skoul,ទទួលស្គាល់
to toul skoul,ទទួលស្គាល់
to tol skol,ទទួលស្គាល់
chhnganh nas,ឆ្ងាញ់ណាស់
chhnganh na,ឆ្ងាញ់ណាស់
chhnganh hah,ឆ្ងាញ់ណាស់
kompoul,កំពូល
kom poul,កំពូល
kumpol,កំពូល
thom,ធំ
thum,ធំ
touch,តូច
toch,តូច
chraen,ច្រើន
chren,ច្រើន
jren,ច្រើន
tech,តិច
tic,តិច
tix,តិច
penh,ពេញ
tor te,ទទេ
t'te,ទទេ
krob kroan,គ្រប់គ្រាន់
krub kron,គ្រប់គ្រាន់
krob kron,គ្រប់គ្រាន់
thom nas,ធំណាស់
thum na,ធំណាស់
thom hah,ធំណាស់
touch nas,តូចណាស់
toch nah,តូចណាស់
toch hah,តូចណាស់
tuleay,ទូលាយ
t'leay,ទូលាយ
tleay,ទូលាយ
chong iet,ចង្អៀត
jong iet,ចង្អៀត
chongeat,ចង្អៀត
veng,វែង
thngon,ធ្ងន់
thngoun,ធ្ងន់
tngun,ធ្ងន់
sral,ស្រាល
por penh,ពោរពេញ
popenh,ពោរពេញ
po penh,ពោរពេញ
s'derng,ស្ដើង
sderng,ស្ដើង
kmean daen​ kom not,គ្មានដែនកំណត់
k'mean daen komnot,គ្មានដែនកំណត់
kmean den komnot,គ្មានដែនកំណត់
mean daen kom not,មានដែនកំណត់
mean daen komnot,មានដែនកំណត់
mean den komnot,មានដែនកំណត់
touch touch,តូចៗ
toch toch,តូចៗ
lers chom nos,លើសចំណុះ
lers jom nos,លើសចំណុះ
lers j'nos,លើសចំណុះ
komror,កម្រ
kumror,កម្រ
kom ror,កម្រ
tve dorng,ទ្វេដង
tve dong,ទ្វេដង
tve dg,ទ្វេដង
zero,សូន្យ
kdav,ក្តៅ
k'dav,ក្ដៅ
tracheak,ត្រជាក់
trojeark,ត្រជាក់
tjeak,ត្រជាក់
phaem,ផ្អែម
ph'aem,ផ្អែម
p'aem,ផ្អែម
chou,ជូរ
chu,ជូរ
ju,ជូរ
herl,ហឹរ
hirl,ហឹរ
rumkhan,រំខាន
rom khan,រំខាន
rum khan,រំខាន
sngob,ស្ងប់
s'ngob,ស្ងប់
s'aoy,ស្អុយ
s'oy,ស្អុយ
s'uy,ស្អុយ
kra ob,ក្រអូប
kra aup,ក្រអូប
k'ob,ក្រអូប
kok kdav,កក់ក្ដៅ
kok k'dav,កក់ក្ដៅ
tracheak khlaang,ត្រជាក់ខ្លាំង
trojeark khlang,ត្រជាក់ខ្លាំង
tjeak klang,ត្រជាក់ខ្លាំង
kdav khlaang,ក្ដៅខ្លាំង
k'dav khlang,ក្ដៅខ្លាំង
kdav klang,ក្ដៅខ្លាំង
sngout,ស្ងួត
s'ngout,ស្ងួត
snguot,ស្ងួត
troloan,ទ្រលាន់
trolon,ទ្រលាន់
t'lon,ទ្រលាន់
srouy,ស្រួយ
svet,ស្វិត
s'vit,ស្វិត
chour chot,ជូរចត់
jour chot,ជូរចត់
jur chot,ជូរចត់
kmean rous chiet,គ្មានរស់ជាតិគ្មាន
k'mean ros jeat,គ្មានរស់ជាតិគ្មាន
kmean jeat,គ្មានរស់ជាតិគ្មាន
chiet,ជាតិ
cheat,ជាតិ
jeat,ជាតិ
sros srai,ស្រស់ស្រាយ
sros sray,ស្រស់ស្រាយ
klen​ ph'our,ក្លិនផ្អួរ
klen p'our,ក្លិនផ្អួរ
klen sros,ក្លិនស្អាត
th'long,ថ្លង់
thlong,ថ្លង់
tlong,ថ្លង់
sngob sngat,ស្ងប់ស្ងាត់
s'ngob s'ngat,ស្ងប់ស្ងាត់
rous ror verk,រស់រវើក
ros ror verk,រស់រវើក
rus roverk,រស់រវើក
ngor ngert,ងងឹត
ngo nget,ងងឹត
ngonget,ងងឹត
por chhert,ពណ៌ឆើត
por sleak,ពណ៌ស្លេក
por slek,ពណ៌ស្លេក
krerm,គ្រើម
l'aw cheang,ល្អជាង
la'ar cheang,ល្អជាង
laor jeang,ល្អជាង
akrok cheang,អាក្រក់ជាង
ah krok cheang,អាក្រក់ជាង
akk jeang,អាក្រក់ជាង
thom cheang,ធំជាង
thum cheang,ធំជាង
thom jeang,ធំជាង
lern cheang,លឿនជាង
lern jeang,លឿនជាង
thoak cheang,ថោកជាង
thoak jeang,ថោកជាង
labey cheang,ល្បីជាង
lbey cheang,ល្បីជាង
lbei jeang,ល្បីជាង
chhlat cheang,ឆ្លាតជាង
ch'lat cheang,ឆ្លាតជាង
chhlat jeang,ឆ្លាតជាង
sa'at cheang,ស្អាតជាង
s'at cheang,ស្អាតជាង
sart jeang,ស្អាតជាង
thlai cheang,ថ្លៃជាង
th'lai cheang,ថ្លៃជាង
tlai jeang,ថ្លៃជាង
chhnganh cheang,ឆ្ងាញ់ជាង
chnganh cheang,ឆ្ងាញ់ជាង
chnganh jeang,ឆ្ងាញ់ជាង
reakreay cheang,រីករាយជាង
rik reay cheang,រីករាយជាង
reakreay jeang,រីករាយជាង
klaang cheang,ខ្លាំងជាង
klang cheang,ខ្លាំងជាង
klang jeang,ខ្លាំងជាង
khsaoy cheang,ខ្សោយជាង
ksaoy cheang,ខ្សោយជាង
khsaoy jeang,ខ្សោយជាង
mean sokapheap l'aw cheang,មានសុខភាពជាង
mean sokpheap l'ar cheang,មានសុខភាពជាង
mean sokpheap laor jeang,មានសុខភាពជាង
chet cheang,ជិតជាង
jet cheang,ជិតជាង
jit jeang,ជិតជាង
chhngaycheang,ឆ្ងាយជាង
chngay cheang,ឆ្ងាយជាង
chngay jeang,ឆ្ងាយជាង
thmey cheang,ថ្មីជាង
tmey cheang,ថ្មីជាង
tmey jeang,ថ្មីជាង
chas cheang,ចាស់ជាង
jas cheang,ចាស់ជាង
jas jeang,ចាស់ជាង
kert tuk cheang,កើតទុក្ខជាង
kert jeang,កើតទុក្ខជាង
ors komlang cheang,អស់កំលាំងជាង
os komlang cheang,អស់កំលាំងជាង
os komlang jeang,អស់កំលាំងជាង
rum khan cheang,រំខានជាង
romkhan cheang,រំខានជាង
romkhan jeang,រំខានជាង
l'aw cheang ke,ល្អជាងគេ
la'ar cheang ke,ល្អជាងគេ
laor jeang ke,ល្អជាងគេ
akrok cheang ke,អាក្រក់ជាងគេ
ah krok cheang ke,អាក្រក់ជាងគេ
akk jeang ke,អាក្រក់ជាងគេ
thom cheang ke,ធំជាងគេ
thum cheang ke,ធំជាងគេ
thom jeang ke,ធំជាងគេ
lern cheang ke,លឿនជាងគេ
lern jeang ke,លឿនជាងគេ
thoak cheang ke,ថោកជាងគេ
thoak jeang ke,ថោកជាងគេ
labey cheang ke,ល្បីជាងគេ
lbey cheang ke,ល្បីជាងគេ
lbei jeang ke,ល្បីជាងគេ
chhlat cheang ke,ឆ្លាតជាងគេ
ch'lat cheang ke,ឆ្លាតជាងគេ
chhlat jeang ke,ឆ្លាតជាងគេ
sa'at cheang ke,ស្អាតជាងគេ
s'at cheang ke,ស្អាតជាងគេ
sart jeang ke,ស្អាតជាងគេ
thlai cheang ke,ថ្លៃជាងគេ
th'lai cheang ke,ថ្លៃជាងគេ
tlai jeang ke,ថ្លៃជាងគេ
chhnganh cheang ke,ឆ្ងាញ់ជាងគេ
chnganh cheang ke,ឆ្ងាញ់ជាងគេ
chnganh jeang ke,ឆ្ងាញ់ជាងគេ
reakreay cheang ke,រីករាយជាងគេ
rik reay cheang ke,រីករាយជាងគេ
reakreay jeang ke,រីករាយជាងគេ
klaang cheang ke,ខ្លាំងជាងគេ
klang cheang ke,ខ្លាំងជាងគេ
klang jeang ke,ខ្លាំងជាងគេ
khsaoy cheang ke,ខ្សោយជាងគេ
ksaoy cheang ke,ខ្សោយជាងគេ
khsaoy jeang ke,ខ្សោយជាងគេ
mean sokapheap l'aw cheang ke,មានសុខភាពជាងគេ
mean sokpheap l'ar cheang ke,មានសុខភាពជាងគេ
mean sokpheap laor jeang ke,មានសុខភាពជាងគេ
chet cheang ke,ជិតជាងគេ
jet cheang ke,ជិតជាងគេ
jit jeang ke,ជិតជាងគេ
chhngaycheang ke,ឆ្ងាយជាងគេ
chngay cheang ke,ឆ្ងាយជាងគេ
chngay jeang ke,ឆ្ងាយជាងគេ
thmey cheang ke,ថ្មីជាងគេ
tmey cheang ke,ថ្មីជាងគេ
tmey jeang ke,ថ្មីជាងគេ
chas cheang ke,ចាស់ជាងគេ
jas cheang ke,ចាស់ជាងគេ
jas jeang ke,ចាស់ជាងគេ
kert tuk cheang ke,កើតទុក្ខជាងគេ
kert jeang ke,កើតទុក្ខជាងគេ
ors komlang cheang ke,អស់កំលាំងជាងគេ
os komlang cheang ke,អស់កំលាំងជាងគេ
os komlang jeang ke,អស់កំលាំងជាងគេ
rum khan cheang ke,រំខានជាងគេ
romkhan cheang ke,រំខានជាងគេ
romkhan jeang ke,រំខានជាងគេ
mnus,មនុស្ស
sursdey,សួស្ដី
bart,បាទ
avey,អ្វី
ey,អី
kit,គិត
tam,តាម
ng,និង
tv,ទៅ
na,ណា
bek,បែក
tov,ទៅ
boak,បោក
ke,គេ
jam,ចាំ
bay,បាយ
chkout,ឆ្កួត
slanh,ស្រឡាញ់
lop,ឡប់
chkae,ឆ្កែ
hg,ហែង
nirk,នឹក
oun,អូន
bong,បង
jol,ចូល
merl,មើល
tha,ថា
yii,យី
hue,ហឺ
kon,កូន
ban,បាន
yey,និយាយ
eng,ឯង
tvr,ធ្វើ
sby,សប្បាយ
deng,ដឹង
klun,ខ្លួន
hz,ហើយ
oy,ឲ
brb,ប្រាប់
smos,ស្មោះ
yeak,យក្ស
doch,ដូច
denh,ដេញ
klang,ខ្លាំង
chnaes,ឈ្នះ
jenh,ចេញ
chma,ឆ្មា
jruk,ជ្រូក
mk,មក
khaet,ខេត្ត
phnom,ភ្នំ
pherk,ផឹក
dermbey,ដើម្បី
ort,អត់
prohel,ប្រហែល
terk,ទឹក
kfe,កាហ្វេ
kafe,កាហ្វេ
sam,ស៊ាំ
pka,ផ្កា
juch,ចុច
tse,សរសេរ
vai,វាយ
nas,ណាស់
chlery,ឈ្លើយ
knea,គ្នា
chlory,ឆ្លើយ
bros,ប្រុស
kor,ក៏
srey,ស្រី
kab,កាប់
saey,ស្អី
banh,បាញ់
s’ey,ស្អី
klas,ខ្លះ
te,ទេ
slab,ស្លាប់
nis,នេះ
nus,នោះ
sork,សក់
ngob,ងាប់
nurm,នាំ
kbal,ក្បាល
jeng,អញ្ចឹង
ming,មីង
pu,ពូ
ot,អត់
jes,ចេះ
merean,មេរៀន
tngai,ថ្ងៃ
jomnes,ចំណេះ
chan,ច័ន្ទ
ongkea,អង្គារ
rean,រៀន
ongkor,អង្ករ
sok,សុក្រ
dam,ដាំ
jet,ចិត្ត
chong,ឆុង
jos,ចុះ
ber,បើ
sen,សិន
hub,ហូប
nhom,ខ្ញុំ
nh,ខ្ញុំ
neak,អ្នក
saek,ស្អែក
jreang,ច្រៀង
naek,នៀក
keng,គេង
ngerb,ងើប
p’o,ប្អូន
yosub,យល់សប្តិ
dek,ដេក
bok,បុក
nov,នៅ
pbak,ពិបាក
pyul,ពន្យល់
lhong,ល្ហុង
pkach,ប្រកាច់
sdab,ស្តាប់
sverng,ស្រវឹង
tmei,ថ្មី
lhot,រហូត
khmer,ខ្មែរ
yg,យើង
k’nh,ខ្ញុំ
yum,យំ
steav,ស្ទាវ
mean,មាន
kror,ក្រ
rok,រក
kmoch,ខ្មោច
songkum,សង្គម
cheam,ឈាម
pnek,ភ្នែក
songsa,សង្សារ
pluk,ភ្លក្ស
sra,ស្រា
tnam,ថ្នាំ
jganh,ឆ្ងាញ់
jab,ចាប់
arom,អារម្មណ៍
jis,ជិះ
peal,ពាល
mao,មក
min,មិន
rub,រូប
men,មែន
man,មែន
mech,ម៉េច
dae,ដែរ
tuk,ទុក
dak,ដាក់
keo,កែវ
thaem,ថែម
kert,កើត
khos,ខុស
trov,ត្រូវ
trv,ត្រូវ
svay,ស្វាយ
tser,សរសើរ
tkol,ត្រកូល
pjam,ប្រចាំ
chnam,ឆ្នាំ
kroy,ក្រោយ
lerng,ឡើង
hors,ហោះ
der,ដើរ
chor,ឈរ
kuy,អង្គុយ
doul,ដួល
tleak,ធ្លាក់
plorng,ប្រឡង
pkert,បង្កើត
pkhom,បង្ខំ
kech,គេច
kham,ខាំ
mer,មើល
berk,បើក
lan,ឡាន
moto,ម៉ូតូ
ngut,ងូត
skor,ស្ករ
lers,លើស
ler,លើ
chir,ឈឺ
mae,ម៉ែ
mak,ម៉ាក់
pa,ប៉ា
jae,ចែ
chub,ឈប់
pkan,ប្រកាន់
ss,សង្សារ
pdey,ប្តី
ppun,ប្រពន្ធ
ka,ការ
jong,ចង់
kernh,ឃើញ
pder,បណ្តើរ
moung,ម៉ោង
tae,តែ
arch,អាច
songsai,សង្ស័យ
krav,ក្រៅ
knong,ក្នុង
hort,ហត់
kru,គ្រូ
khu,គ្រូ
lok,លោក
leng,លេង
lg,លេង
arv,អាវ
sur,សួរ
plich,ភ្លេច
rut,រត់
nerk,នឹក
dai,ដៃ
jerng,ជើង
may,មេ
rg,រឿង
neng,និង
job,ចប់
dorysa,ដោយសារ
chab,ឆាប់
chea,ជា
jea,ជា
plov,ភ្លៅ
ourt,អួត
lern,លឿន
yert,យឺត
teanh,ទាញ
jivit,ជីវិត
joub,ជួប
hav,ហៅ
louk,លក់
tinh,ទិញ
tos,តោះ
luy,លុយ
smut,សមុទ្រ
koh,កោះ
pich,ពេជ្រ
srek,ស្រែក
hous,ហួស
hev,ហេវ
haha,ហាហា
jak,ចាក់
jun,ជូន
kom,កុំ
khom,ខំ
leb,លេប
lek,លេខ
lngeach,ល្ងាច
ksae,ខ្សែរ
hean,ហ៊ាន
mek,មេឃ
kjorl,ខ្យល់
serj,សើច
kmean,គ្មាន
lir,ឮ
teay,ទាយ
slek,ស្លេក
leab,លាប
os,អស់
sark,សាក
tmor,ថ្ម
tmey,ថ្មី
tpae,តាប៉ែ
srok,ស្រុក
lvol,រវល់
pnhab,ប្រញាប់
jok,ចុក
pous,ពោះ
prous,ព្រោះ
lung,លង់
kron,គ្រាន់
krob,គ្រប់
kraeng,ក្រែង
coca,កូកា
tne,ទំនេរ
meas,មាស
pov,ពៅ
preah,ព្រះ
prus,ព្រុស
smai,ស្រម៉ៃ
bos,បោះ
tang,ទាំង
pjol,បញ្ជូល
ko,គោរ
stek,សតិ
staes,ស្ទះ
yab,យ៉ាប់
rorl,រាល់
ah,អា
muy,មួយ
mouy,មួយ
pek,ពេក
yu,យូរ
kach,កាច
mdg,ម្តង
bat,បាត់
sdach,ស្តេច
kaeng,គាំង
besdong,បេះដូង
nham bay nov?,ញុំាបាយនៅ?
ke oy tver ey ng?,គេឲ្យធ្វើអីនឹង?
plouk ort?,ភ្លក់អត់?
sl ke mnek eng,ស្រឡាញ់គេម្នាក់ឯង
somkis,សំគីស
mae hg,ម៉ែហែង
mean besdong tver ey bae ort nak slanh pg,មានបេះដូងធ្វើអ្វីបើគ្មានអ្នកស្រឡាញ់ផង
ort mean luy,អត់មានលុយ
jit,ជិត
rot,រត់
thort,ថត
yg chea khmer,យើងជាខ្មែរ
nik ke mes,នឹកគេម៉េស
jg rorm,ចង់រាំ
mor,មក
moe,មក
mok,មក
jench,ចេញ
choul,ចូល
chol,ចូល
rort,រត់
buek,បើក
bark,បើក
bit,បិទ
trolob,ត្រឡប់
truelob,ត្រឡប់
nham,ញាំ
nhem,ញាំ
nyam,ញាំ
houb,ហូប
hob,ហូប
phrk,ផឹក
jjerm,ចិញ្ចឹម
jonjerm,ចិញ្ចឹម
kg,គេង
deck,ដេក
phneak,ភ្ញាក់
smak,សម្រាក
somrak,សម្រាក
smeak,សម្រាក
samrak,សម្រាក
muj terk,ងូតទឹក
ngut terk,ងូតទឹក
nguch terk,ងូតទឹក
yy,និយាយ
niyey,និយាយ
ni yeay,និយាយ
niyay,និយាយ
hao,ហៅ
chlaey,ឆ្លើយ
chleuy,ឆ្លើយ
sue,សួរ
sour,សួរ
brab,ប្រាប់
brarb,ប្រាប់
ponyul,ពន្យល់
punyol,ពន្យល់
pyol,ពន្យល់
phner,ផ្ញើរ
phneur,ផ្ញើរ
ttul,ទទួល
tortul,ទទួល
tortoul,ទទួល
ttol,ទទួល
jek,ចែក
cheak,ចែក
chaek,ចែក
bong rean,បង្រៀន
prean,បង្រៀន
ket,គិត
yul,យល់
yol,យល់
cham,ចាំ
plex,ភ្លេច
plech,ភ្លេច
skol,ស្គាល់
skorl,ស្គាល់
skl,ស្គាល់
dg,ដឹង
derng,ដឹង
dng,ដឹង
arn,អាន
an,អាន
sorse,សសេរ
sse,សសេរ
sorsay,សសេរ
jg,ចង់
sl,ស្រឡាញ់
srolanh,ស្រឡាញ់
jol jit,ចូលចិត្ត
jol jet,ចូលចិត្ត
chol chet,ចូលចិត្ត
chol chit,ចូលចិត្ត
s'ob,ស្អប់
saoub,ស្អប់
sa ob,ស្អប់
sob,ស្អប់
klach,ខ្លាច
klax,ខ្លាច
serch,សើច
yom,យំ
chue,ឈឺ
cheu,ឈឺ
kvol,ខ្វល់
kvorl,ខ្វល់
ter ka,ធ្វើការ
tver ka,ធ្វើការ
luk,លក់
tenh,ទិញ
rk,រក
yk,យក
york,យក
yor,យក
dark,ដាក់
tok,ទុក
bos jurl,បោះចោល
jurl,ចោល
jorl,ចោល
bos jorl,បោះចោល
brer,ប្រើ
prer,ប្រើ
leang,លាង
jouy,ជួយ
juy,ជួយ
dos sray,ដោះស្រាយ
dossray,ដោះស្រាយ
reab jom,រៀបចំ
riep jom,រៀបចំ
reap jom,រៀបចំ
jub,ជួប
jenh luy,ចេញលុយ
tutot,ទួទាត់
tu tot,ទួទាត់
sorng,សង
